Date,Title,Artist,Rank,IsNew
2020-02-01,I Don't Care,Ed Sheeran & Justin Bieber,44,False
2020-02-01,Even Though I'm Leaving,Luke Combs,45,False
2020-02-01,One Man Band,Old Dominion,46,False
2020-02-01,Bandit,Juice WRLD & YoungBoy Never Broke Again,47,False
2020-02-01,Circles,Mac Miller,48,True
2020-02-01,Sucker,Jonas Brothers,49,False
2020-02-01,Juicy,Doja Cat & Tyga,50,False
2020-02-01,Heartache Medication,Jon Pardi,51,False
2020-02-01,You Gon' Learn,"Eminem Featuring Royce da 5'9"" & White Gold",52,True
2020-02-01,Kinfolks,Sam Hunt,53,False
2020-02-01,Graveyard,Halsey,54,False
2020-02-01,Tusa,Karol G & Nicki Minaj,55,False
2020-02-01,South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B,56,False
2020-02-01,Black Swan,BTS,57,True
2020-02-01,P*$$y Fairy (OTW),Jhene Aiko,58,True
2020-02-01,Futsal Shuffle 2020,Lil Uzi Vert,59,False
2020-02-01,Ridin' Roads,Dustin Lynch,60,False
2020-02-01,Leaving Heaven,Eminem Featuring Skylar Grey,61,True
2020-02-01,RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,62,False
2020-02-01,Complicated,Mac Miller,63,True
2020-02-01,Hand Me Downs,Mac Miller,64,True
2020-02-01,TOES,DaBaby Featuring Lil Baby & Moneybagg Yo,65,False
2020-02-01,Homesick,Kane Brown,66,False
2020-02-01,Premonition (Intro),Eminem,67,True
2020-02-01,I Can See,Mac Miller,68,True
2020-02-01,VIBEZ,DaBaby,69,False
2020-02-01,Slide,H.E.R. Featuring YG,70,False
2020-02-01,In Too Deep,Eminem,71,True
2020-02-01,Heart On Ice,Rod Wave,72,False
2020-02-01,I Hope,Gabby Barrett Featuring Charlie Puth,73,False
