Artist,Spotify_Artist,Track,Track_ID
Kelly Clarkson,Kelly Clarkson,Love So Soft,16QN8cBubEq706vNtPpOME
Blake Shelton,Blake Shelton,I'll Name The Dogs,609qKv3KPAbdtp0LQH2buA
Kane Brown,Kane Brown,Found You,4iLeL1aYGcQBsYcWIhXIUO
Lil Pump,Lil Pump,Gucci Gang,43ZyHQITOjhciSUUNPVRHc
G-Eazy Featuring A$AP Rocky & Cardi B,G-Eazy,No Limit,2DQ1ITjI0YoLFzuADN1ZBW
"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",Chris Brown,Pills And Automobiles,5gx2E5aIXMRBellPZW1up5
Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,Hailee Steinfeld,Let Me Go,5Gu0PDLN4YJeW75PpBSg9p
Post Malone Featuring 21 Savage,Post Malone,Rockstar,0e7ipj03S05BNilyu5bRzt
Niall Horan,Niall Horan,Too Much To Ask,18PP09BdwsEpCp9B9XByid
Gucci Mane Featuring The Weeknd,Gucci Mane,Curve,2yuyaYAELoMG4ApV5wJsWR
BTS,BTS,DNA,35oDhfqmQepYWgXSny1cez
"Lorde Featuring Khalid, Post Malone & SZA",Lorde,Homemade Dynamite,5u64RlrnvvbtNh6R0EMh6o
Post Malone,Post Malone,I Fall Apart,75ZvA4QfFiZvzhj2xkaWAh
Macklemore Featuring Kesha,Macklemore,Good Old Days,2Za1AlJNvksouPPWbXpR2X
Chris Young,Chris Young,Losing Sleep,6waqLPcT6ruMhmd36OhmFO
Brett Young,Brett Young,Like I Loved You,3T6MAweakkNrMYs8jZIWtg
Eric Church,Eric Church,Round Here Buzz,52ioLaTnO2J7BWY8UN2n9D
A$AP Ferg Featuring Nicki Minaj,A$AP Ferg,Plain Jane,4dVpf9jZjcORqGTLUaeYj9
Bhad Bhabie,Bhad Bhabie,Hi Bich,3yjpv3Rk2gkHhfhgBjiUKS
A Boogie Wit da Hoodie,A Boogie Wit da Hoodie,No Promises,2BJpuAoDeQ1QuPvnryfAWK
A Boogie Wit da Hoodie,A Boogie Wit da Hoodie,Say A',3AMnOVxEHUgVrythGgqPhI
A Boogie Wit da Hoodie Featuring 21 Savage,A Boogie Wit da Hoodie,Undefeated,2vaMWMPMgsWX4fwJiKmdWm
A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again,A Boogie Wit da Hoodie,Beast Mode,1AH60dMaEfNjzDoUIFwIQi
Florida Georgia Line,Florida Georgia Line,Smooth,31x4wWBghN7f5PiEZUmcAW
Lin-Manuel Miranda Featuring Artists For Puerto Rico,Lin-Manuel Miranda,Almost Like Praying,3dskm5fAe8OkBtM9E0VVWx
Sam Smith Featuring Logic,Sam Smith,Pray,59ljpSFcgtfWJKS3vqG27R
Charlie Puth,Charlie Puth,How Long,6wmAHw1szh5RCKSRjiXhPe
Kane Brown,Kane Brown,Heaven,1HXy5I3HTWq8OvxCn0z7G7
Maren Morris Featuring Vince Gill,Maren Morris,Dear Hate,7zOoHxDt1duHL8czY7o7ab
MAX Featuring gnash,MAX,Lights Down Low,5A6BJLZArq1MPjsnmcuk5f
"Quavo, Takeoff & Offset","Quavo, Takeoff",Too Hotty,not found
Chris Brown Featuring Future & Young Thug,Chris Brown,High End,6FwiZxKXipsyGw2CVZOzol
Russell Dickerson,Russell Dickerson,Yours,3I4WFddKpe2PGZWFh7f10J
NF,NF,Let You Down,52okn5MNA47tk87PeZJLEL
